category,description_cost,description_id,heatgenerated,instability,description_details,armordamagemodifier,criticaldamagemodifier,description_name,description_purchasable,description_rarity,description_uiname,heatgeneratedmodifier,hideifonlyvariant,isdamagemodifier,type,aibattlevalue,aoecapable,aoedamage,aoeheatdamage,aoerange,additionalimpactvfx,additionalimpactvfxscalex,additionalimpactvfxscaley,additionalimpactvfxscalez,colorchangerule,colorspeedchange,colorstable,damagepershot,fireterrainchance,heatdamagepershot,statuseffects,apcriticalchancemultiplier,apdamage,accuracymodifier,criticalchancemultiplier,damagemultiplier,flatjammingchance,refiremodifier,chassistagsaccuracymodifiers_unit_vtol,evasivepipsignored,amsdamage,shotswhenfired,aoeinstability,clearminefieldradius,firedurationwithoutforest,fireonsuccesshit,fireterraincellradius,fireterrainstrength,missilehealth,minefield_aoedamage,minefield_aoeheat,minefield_aoeinstability,minefield_aoerange,minefield_chance,minefield_count,minefield_damage,minefield_firedurationwithoutforest,minefield_fireonsuccesshit,minefield_fireterraincellradius,minefield_fireterrainchance,minefield_fireterrainstrength,minefield_heat,minefield_installcellrange,minefield_sfx,minefield_vfxmindistance,minefield_vfxprefab,minefield_statuseffects,directfiremodifier,amshitchance,canbeexhaustedat,maxmissradius,minmissradius,tempdesignmaskcellradius,tempdesignmaskonimpact,tempdesignmaskonimpactturns,longrange,maxrange,middlerange,projectilespeedmultiplier,shortrange,minrange,weaponeffectid,alwaysindirectvisuals,chassistagsaccuracymodifiers_unit_powerarmor,hitgenerator,canthitunaffecedbypathing,clusteringmodifier,distantvariance,streak,spreadrange,minefield_canthitunaffecedbypathing,unguided,hasshells,maxshellsdistance,minshellsdistance,projectilespershot,unseparateddamagemult,indirectfirecapable,shellsradius,aparmorshardsmod,apmaxarmorthickness,damagevariance,projectilescale_x,projectilescale_y,projectilescale_z,isdamagevariation,isstabilityvariation,distantvariancereversed,ammocategoryid,ammunitiontypeid
"""AC10""",0,"""Ammunition_AC10""",0,,"""Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.""",1,1,"""AC/10 Ammo""",false,0,"""STD""",1,true,1,"""Normal""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC10""",0,"""Ammunition_AC10_AP""",0,,"""Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.""",1,1,"""AC/10 Ammo""",false,0,"""AP""",1,,1,"""Normal""",,,,,,,,,,"""t0""",5,"[{""C"":""#EE82EE"",""I"":5}]",,,,,0.5,10,1,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC10""",0,"""Ammunition_AC10_Caseless""",0,,"""Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.""",1,1,"""AC/10 Ammo""",false,0,"""CL""",1,,1,"""Normal""",,,,,,,,,,"""t0""",5,"[{""C"":""#FAED39"",""I"":5}]",,,,,,,,,0.9,0.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC10""",0,"""Ammunition_AC10_Flak""",0,,"""Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.""",1,1,"""AC/10 Ammo""",false,0,"""Flak""",1,,1,"""Normal""",,,,,,,,,,"""t0""",5,"[{""C"":""#F3F34A"",""I"":5}]",,,,,,,2,,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC10""",0,"""Ammunition_AC10_Incendiary""",0,,"""Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.""",1,1,"""AC/10 Ammo""",false,0,"""Incendiary""",1,,1,"""Normal""",90,,,,,,,,,"""t0""",5,"[{""C"":""#DC143C"",""I"":5}]",,0.24,24,"[{""Description"":{""Details"":""Reduce Heat Damage by 1%"",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""HeatDamageTakenSoftCapMultiplier"",""Name"":""Heat Damage SoftCap""},""durationData"":{""duration"":1,""stackLimit"":45,""ticksOnActivations"":true,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.95"",""operation"":""Float_Multiply"",""statName"":""CACIncomingHeatMult""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}},{""Description"":{""Details"":""This unit is coated with burning chemicals."",""Icon"":""uixSvgIcon_biome_Heated"",""Id"":""Effect_InfernoRLHeat"",""Name"":""INFERNO""},""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":-1,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Debuff"",""statisticData"":{""modType"":""System.Int32"",""modValue"":""12"",""operation"":""Int_Subtract"",""statName"":""HeatSinkCapacity""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":true,""showInTargetPreview"":true,""specialRules"":""NotSet"",""triggerLimit"":0}}]",,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC10""",0,"""Ammunition_AC10_Precision""",0,,"""Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.""",1,1,"""AC/10 Ammo""",false,0,"""Precision""",1,,1,"""Normal""",,,,,,,,,,"""t0""",5,"[{""C"":""#0000CD"",""I"":5}]",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC10Internal""",0,"""Ammunition_AC10_Internal""",0,,"""Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.""",1,1,"""AC/10 Ammo""",false,0,"""STD""",1,true,1,"""Normal""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC2""",0,"""Ammunition_AC2""",0,,"""Small caliber ammunition designed for long range fire in an AC/2.""",1,1,"""AC/2 Ammo""",false,0,"""STD""",1,true,1,"""Normal""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC2""",0,"""Ammunition_AC2_AP""",0,,"""Small caliber ammunition designed for long range fire in an AC/2.""",1,1,"""AC/2 Ammo""",false,0,"""AP""",1,,1,"""Normal""",,,,,,,,,,"""t0""",5,"[{""C"":""#EE82EE"",""I"":5}]",,,,,0.5,5,1,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AC2""",0,"""Ammunition_AC2_Caseless""",0,,"""Small caliber ammunition designed for long range fire in an AC/2.""",1,1,"""AC/2 Ammo""",false,0,"""CL""",1,,1,"""Normal""",,,,,,,,,,"""t0""",5,"[{""C"":""#FAED39"",""I"":5}]",,,,,,,,,0.9,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
