battlevalue,componentsubtype,componenttype,description_cost,description_id,inventorysize,prefabidentifier,tonnage,description_details,allowedlocations,ammoid,bonusvaluea,bonusvalueb,capacity,componenttags_items,componenttags_tagsetsourcefile,criticalcomponent,custom_bonusdescriptions,custom_category,custom_flags,custom_inventorysorter,description_icon,description_manufacturer,description_model,description_name,description_purchasable,description_rarity,description_uiname,disallowedlocations,statuseffects,custom_componentexplosion,custom_volatileammo,custom_trgbcolor,canexplode,custom_requiredcategory,custom_tag
0,"""Ammunition""","""AmmunitionBox""",5000000,"""Ammo_AmmunitionBox_Thunderbolt_TB20_NEMP""",1,"""""",1,"""This Thunderbolt Missile was retooled to fire a specialized NEMP Warhead disabling everything around the impact. NEMP warhead is designed to be detonated above the Earth's surface. The explosion releases a blast of gamma rays, which scrambles electronics. \n\n <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>""","""All""","""Ammunition_TBOLT20_NEMP""","""""","""""",1,"[""component_type_stock""]","""""",false,"{""Bonuses"":[""Haywire"",""ImpMove: 40%"",""ImpAccuracy: -2"",""ImpHeatSink: -50%"",""TboltDamage: -100"",""HeatDamage: +50"",""AreaOfEffect: 60"",""AreaOfEffectHeatDmg: +20"",""TBOLT20Ammo: 1""]}","[{""CategoryID"":""a/m/t/thunderbolt""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000049""}","""thunderbolt""","""Generic""","""Thermobolt""","""Thunderbolt 20 NEMP Ammo""",true,20,"""Ammo TBM 20 NEMP""","""All""","[{""Description"":{""Details"":""The Mech's Systems have been scrambled."",""Icon"":""uixSvgIcon_shipUpgrade_power2"",""Id"":""TSEMP-Effect"",""Name"":""TSEMP""},""actorBurningData"":null,""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":6,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""floatieData"":null,""instantModData"":null,""nature"":""Debuff"",""poorlyMaintainedEffectData"":null,""statisticData"":{""additionalRules"":""NotSet"",""appliesEachTick"":false,""effectsPersistAfterDestruction"":false,""modType"":""System.Single"",""modValue"":""2.0"",""operation"":""Float_Add"",""statName"":""AccuracyModifier"",""targetAmmoCategory"":""NotSet"",""targetCollection"":""NotSet"",""targetWeaponCategory"":""NotSet"",""targetWeaponSubType"":""NotSet"",""targetWeaponType"":""NotSet""},""tagData"":null,""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":true,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0},""vfxData"":null},{""Description"":{""Details"":""The Mech's Movement is reduced."",""Icon"":""uixSvgIcon_status_sensorsImpaired"",""Id"":""TSEMP-Effect1"",""Name"":""Walk Impaired""},""actorBurningData"":null,""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":6,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""floatieData"":null,""instantModData"":null,""nature"":""Debuff"",""poorlyMaintainedEffectData"":null,""statisticData"":{""additionalRules"":""NotSet"",""appliesEachTick"":false,""effectsPersistAfterDestruction"":false,""modType"":""System.Single"",""modValue"":""0.6"",""operation"":""Float_Multiply"",""statName"":""WalkSpeed"",""targetAmmoCategory"":""NotSet"",""targetCollection"":""NotSet"",""targetWeaponCategory"":""NotSet"",""targetWeaponSubType"":""NotSet"",""targetWeaponType"":""NotSet""},""tagData"":null,""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0},""vfxData"":null},{""Description"":{""Details"":""The Mech's Movement is reduced."",""Icon"":""uixSvgIcon_status_sensorsImpaired"",""Id"":""TSEMP-Effect2"",""Name"":""Move Impaired""},""actorBurningData"":null,""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":6,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""floatieData"":null,""instantModData"":null,""nature"":""Debuff"",""poorlyMaintainedEffectData"":null,""statisticData"":{""additionalRules"":""NotSet"",""appliesEachTick"":false,""effectsPersistAfterDestruction"":false,""modType"":""System.Single"",""modValue"":""0.6"",""operation"":""Float_Multiply"",""statName"":""RunSpeed"",""targetAmmoCategory"":""NotSet"",""targetCollection"":""NotSet"",""targetWeaponCategory"":""NotSet"",""targetWeaponSubType"":""NotSet"",""targetWeaponType"":""NotSet""},""tagData"":null,""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0},""vfxData"":null},{""Description"":{""Details"":""The Mech's cooling is impaired."",""Icon"":""uixSvgIcon_status_sensorsImpaired"",""Id"":""TSEMP-Effect3"",""Name"":""Cooling Impaired""},""actorBurningData"":null,""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":6,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""floatieData"":null,""instantModData"":null,""nature"":""Debuff"",""poorlyMaintainedEffectData"":null,""statisticData"":{""additionalRules"":""NotSet"",""appliesEachTick"":false,""effectsPersistAfterDestruction"":false,""modType"":""System.Single"",""modValue"":""1.5"",""operation"":""Float_Multiply"",""statName"":""HeatGenerated"",""targetAmmoCategory"":""NotSet"",""targetCollection"":""Weapon"",""targetWeaponCategory"":""NotSet"",""targetWeaponSubType"":""NotSet"",""targetWeaponType"":""NotSet""},""tagData"":null,""targetingData"":{""effectTargetType"":""SingleTarget"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0},""vfxData"":null}]","{""ExplosionDamagePerAmmo"":10,""HeatDamagePerAmmo"":100,""StabilityDamagePerAmmo"":10}",,,,,
0,"""Ammunition""","""AmmunitionBox""",1600000,"""Ammo_AmmunitionBox_Rotary_Caseless_AC20""",1,"""""",1,"""Caseless autocannon ammunition was developed by the Federated Commonwealth to provide more ammunition. Instead of a standard metal or plastic shell casing filled with propellant, the caseless autocannon round had the propellant 'packed' around the projectile. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. \n\n <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>""","""All""","""Ammunition_RAC20_Caseless""","""""","""""",10,"[""component_type_stock""]","""""",false,"{""Bonuses"":[""AmmoJAMFlat: 16%"",""AmmoDamage: -15%"",""RAC20Ammo: 10"",""Caseless"",""VolatileAmmo""]}","[{""CategoryID"":""a/a/a/rac""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000025""}","""RotaryAC""","""NAIS""","""RAC Caseless 20""","""RAC/20 Ammo""",true,5,"""Ammo RAC/20 [CL]""","""All""",[],"{""ExplosionDamagePerAmmo"":85,""StabilityDamagePerAmmo"":21}","{""damageWeighting"":1}","{""Color"":""#FAED39"",""SkipText"":true}",,,
0,"""Ammunition""","""AmmunitionBox""",1200000,"""Ammo_AmmunitionBox_Rotary_Caseless_AC10""",1,"""""",1,"""Caseless autocannon ammunition was developed by the Federated Commonwealth to provide more ammunition. Instead of a standard metal or plastic shell casing filled with propellant, the caseless autocannon round had the propellant 'packed' around the projectile. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. \n\n <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>""","""All""","""Ammunition_RAC10_Caseless""","""""","""""",16,"[""component_type_stock""]","""""",false,"{""Bonuses"":[""AmmoJAMFlat: 14%"",""AmmoDamage: -15%"",""RAC10Ammo: 16"",""Caseless"",""VolatileAmmo""]}","[{""CategoryID"":""a/a/a/rac""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000024""}","""RotaryAC""","""NAIS""","""RAC Caseless 10""","""RAC/10 Ammo""",true,5,"""Ammo RAC/10 [CL]""","""All""",[],"{""ExplosionDamagePerAmmo"":51,""StabilityDamagePerAmmo"":12}","{""damageWeighting"":1}","{""Color"":""#FAED39"",""SkipText"":true}",,,
0,"""Ammunition""","""AmmunitionBox""",1000000,"""Ammo_AmmunitionBox_Nuke_ArrowIV""",1,"""""",1,"""The Davy Crockett is a compact half-kiloton nuclear device configurable for a variety of delivery systems. Unfortunately many have a range only slightly longer than the blast radius, making them rather unpopular with troops. This configuration of the Davy Crockett-M can be launched via Arrow IV and operates in ground burst mode. While heavier than normal rounds at one ton each, they behave exactly as normal Arrow IV munitions do. Risk of propellant detonation can be mitigated with the use of C.A.S.E. the warhead itself will not detonate unless it is properly armed and primed.\n\n <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>""","""All""","""Ammunition_ArrowIV_Nuke""","""""","""""",1,"[""BLACKLISTED"",""component_type_stock""]","""""",false,"{""Bonuses"":[""IsNOOK"",""Exhaust"",""ArrowIVAmmo: 1"",""AreaOfEffect: 360"",""AreaOfEffectDmg: 1250"",""AreaOfEffectHeatDmg: 500"",""ArrowIVDamage: 2000"",""MineClearanceBoom: 8"",""DesignMask: Radiation"",""ScatterRadius: 50, 180"",""MissileHP: 30""]}","[{""CategoryID"":""a/m/t/arrowiv""}]","{""flags"":[""not_broken""]}","{""SortKey"":""00051""}","""nuclear""","""Generic""","""ArrowIV""","""ArrowIV Ammo""",true,10,"""Ammo Davy Crocket A-IV""","""All""",[],"{""ExplosionDamagePerAmmo"":600,""StabilityDamagePerAmmo"":150}",,,,,
0,"""Ammunition""","""AmmunitionBox""",1000000,"""Ammo_AmmunitionBox_Nuke_LongTom""",1,"""""",1,"""The Davy Crockett is a compact half-kiloton nuclear device configurable for a variety of delivery systems. Unfortunately many have a range only slightly longer than the blast radius, making them rather unpopular with troops. This configuration of the Davy Crockett-M can be launched via Long Tom Artillery and operates in ground burst mode. While heavier than normal rounds at one ton each, they behave exactly as normal munitions do. Risk of propellant detonation can be mitigated with the use of C.A.S.E. the warhead itself will not detonate unless it is properly armed and primed.\n\n <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>""","""All""","""Ammunition_LongTom_Nuke""","""""","""""",1,"[""component_type_stock""]","""""",false,"{""Bonuses"":[""Exhaust"",""LongTomAmmo: 1"",""AreaOfEffect: 360"",""AreaOfEffectDmg: 1250"",""AreaOfEffectHeatDmg: 500"",""WeaponDamage: +2000"",""MineClearanceBoom: 12"",""DesignMask: Radiation"",""ScatterRadius: 80, 250"",""IsNOOK""]}","[{""CategoryID"":""a/a/o/artillery""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000054""}","""nuclear""","""Generic""","""LongTom""","""LongTom Ammo""",true,10,"""Ammo LongTom Davy Crocket""","""All""",[],"{""ExplosionDamagePerAmmo"":510,""StabilityDamagePerAmmo"":127}",,,,,
0,"""Ammunition""","""AmmunitionBox""",1000000,"""Ammo_AmmunitionBox_Nuke_Thumper""",1,"""""",1,"""The Davy Crockett is a compact half-kiloton nuclear device configurable for a variety of delivery systems. Unfortunately many have a range only slightly longer than the blast radius, making them rather unpopular with troops. This configuration of the Davy Crockett-M can be launched via Long Tom Artillery and operates in ground burst mode. While heavier than normal rounds at one ton each, they behave exactly as normal munitions do. Risk of propellant detonation can be mitigated with the use of C.A.S.E. the warhead itself will not detonate unless it is properly armed and primed.\n\n <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>""","""All""","""Ammunition_Thumper_Nuke""","""""","""""",1,"[""component_type_stock""]","""""",false,"{""Bonuses"":[""Exhaust"",""ThumperAmmo: 1"",""AreaOfEffect: 240"",""AreaOfEffectDmg: 800"",""AreaOfEffectHeatDmg: 400"",""ThumperDamage: 1000"",""MineClearanceBoom: 8"",""DesignMask: Radiation"",""ScatterRadius: 60, 220"",""IsNOOK""]}","[{""CategoryID"":""a/a/o/artillery""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000054""}","""nuclear""","""Generic""","""Thumper""","""LongTom Ammo""",true,10,"""Ammo Thumper Nuke""","""All""",[],"{""ExplosionDamagePerAmmo"":510,""StabilityDamagePerAmmo"":127}",,,,,
0,"""Ammunition""","""AmmunitionBox""",999999,"""Ammo_AmmunitionBox_Generic_SRMInferno""",1,"""""",1,"""Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. Inferno Ammo Bins each contain 16 rounds and may feed multiple weapons.""","""All""","""Ammunition_SRMInferno""","""""","""""",16,"[""component_type_debug"",""BLACKLISTED""]","""""",false,,,,,"""uixSvgIcon_ammoBox_Missile""","""Generic""","""Inferno""","""Inferno Ammo""",true,0,"""Inferno Ammo""","""All""",[],,,,true,,
0,"""Ammunition""","""AmmunitionBox""",800000,"""Ammo_AmmunitionBox_Rotary_Caseless_AC5""",1,"""""",1,"""Caseless autocannon ammunition was developed by the Federated Commonwealth to provide more ammunition. Instead of a standard metal or plastic shell casing filled with propellant, the caseless autocannon round had the propellant 'packed' around the projectile. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. \n\n <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>""","""All""","""Ammunition_RAC5_Caseless""","""""","""""",40,"[""component_type_stock""]","""""",false,"{""Bonuses"":[""AmmoJAMFlat: 12%"",""AmmoDamage: -15%"",""RAC5Ammo: 40"",""Caseless"",""VolatileAmmo""]}","[{""CategoryID"":""a/a/a/rac""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000023""}","""RotaryAC""","""NAIS""","""H/RAC Caseless 5""","""H/RAC/5 Ammo""",true,5,"""Ammo Heavy RAC/5 [CL]""","""All""",[],"{""ExplosionDamagePerAmmo"":38,""StabilityDamagePerAmmo"":9}","{""damageWeighting"":1}","{""Color"":""#FAED39"",""SkipText"":true}",,,
0,"""Ammunition""","""AmmunitionBox""",500000,"""Ammo_AmmunitionBox_Swarmi_LRM""",1,"""""",1,"""The Swarm I(mproved) Missile System is based upon the Swarm System Carrying a Larger Payload of Smart bombs that are able to home in on nearby targets. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. \n\n <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>""","""All""","""Ammunition_LRM_Swarm_I""","""""","""""",120,"[""component_type_stock""]","""""",false,"{""Bonuses"":[""LRMDamage: -60%"",""AreaOfEffect: 30"",""AreaOfEffectDmg: 3"",""DFMissileAcc: -1"",""WpnCrits: -70%"",""MissileHP: 2"",""Swarmi"",""NoAA"",""LRMAmmo: 120""]}","[{""CategoryID"":""a/m/l/lrm""}]","{""flags"":[""not_broken""]}","{""SortKey"":""00040""}","""lrm""","""Generic""","""LRM""","""LRM Ammo""",true,5,"""Ammo LRM Swarm-i""","""All""",[],"{""ExplosionDamagePerAmmo"":4,""StabilityDamagePerAmmo"":1}",,"{""Color"":""#F7FF00"",""SkipText"":true}",,,
0,"""Ammunition""","""AmmunitionBox""",500000,"""Ammo_AmmunitionBox_Swarmi_LRM_half""",1,"""""",0.5,"""The Swarm I(mproved) Missile System is based upon the Swarm System Carrying a Larger Payload of Smart bombs that are able to home in on nearby targets. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. \n\n <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>""","""All""","""Ammunition_LRM_Swarm_I""","""""","""""",60,"[""component_type_stock""]","""""",false,"{""Bonuses"":[""LRMDamage: -60%"",""AreaOfEffect: 30"",""AreaOfEffectDmg: 3"",""DFMissileAcc: -1"",""WpnCrits: -70%"",""MissileHP: 2"",""Swarmi"",""NoAA"",""LRMAmmo: 60""]}","[{""CategoryID"":""a/m/l/lrm""}]","{""flags"":[""not_broken""]}","{""SortKey"":""00040""}","""lrm""","""Generic""","""LRM""","""LRM Ammo""",true,5,"""Ammo LRM Swarm-i [Half]""","""All""",[],"{""ExplosionDamagePerAmmo"":4,""StabilityDamagePerAmmo"":1}",,"{""Color"":""#F7FF00"",""SkipText"":true}",,,
