battlevalue,componentsubtype,componenttype,description_cost,description_id,inventorysize,prefabidentifier,tonnage,description_details,allowedlocations,bonusvaluea,bonusvalueb,componenttags_items,componenttags_tagsetsourcefile,criticalcomponent,custom_armorrepair,custom_armorstructurechanges,custom_bonusdescriptions,custom_case,custom_category,custom_color,custom_flags,custom_inventorysorter,custom_linked,custom_weights,custom_workordercosts,description_icon,description_manufacturer,description_model,description_name,description_purchasable,description_rarity,description_uiname,disallowedlocations,statuseffects,custom_activatablecomponent,custom_criticaleffects,custom_errormessage,jumpcapacity,maxtonnage,mintonnage,absolutemodifier,relativemodifier,custom_armactuator,custom_handheld,custom_mechconfiguration,custom_sorter,dissipationcapacity,custom_dynamicslots,auras,custom_componentexplosion,custom_trgbcolor,custom_lootable,custom_structurerepair,custom_enginecore,custom_engineheatblock,custom_cooling,custom_tsminfo,custom_criticalhitstates,custom_engineheatsink,custom_requiredcategories,custom_tonnagelimit,custom_vehiclecriticaleffects
0,"""Heatsink""","""HeatSink""",12300000,"""emod_engineslots_cxxl_center""",2,"""""",0,"""The Clan Extra-Extralight Fusion Engine is mechanically similar to a Fusion Engine but uses much lighter radiation shielding. The cXXL fusion engine is one third the mass for the same performance, but extrudes into the side torsos of a Battlemech and produces additional waste heat.""","""CenterTorso""","""33% Engine Weight""","""Reserves 8 Slots""","[""component_type_stock""]","""""",false,,,"{""Bonuses"":[""EngineWeight: -66%"",""EngineReserved: 8""]}",,"[{""CategoryID"":""EngineShield""},{""CategoryID"":""EnginePart""}]",,"{""flags"":[""vital"",""engine_part"",""not_broken""]}","{""SortKey"":""00013""}","{""Links"":[{""ComponentDefId"":""emod_engineslots_size4"",""Location"":""LeftTorso""},{""ComponentDefId"":""emod_engineslots_size4"",""Location"":""RightTorso""}]}","{""EngineFactor"":0.333,""ReservedSlots"":8}","{""Install"":{""CBillCost"":""12000 * [[Chassis.Tonnage]] * [[Chassis.Tonnage]] / 30"",""TechCost"":""1.5 * [[Chassis.Tonnage]] / 2""}}","""power-generator""","""Generic""","""Dagda XXL""","""XXL Engine (C)""",true,20,"""Engine XXL (C)""","""All""",,"{""CanNotBeActivatedManualy"":true,""ExplodeOnDamage"":true,""Explosion"":{""Chance"":0.01,""ChanceActorStat"":""EngineExplodeChance"",""DamageActorStat"":""EngineExplodeDamage"",""FireDurationWithoutForestActorStat"":""EngineExplodeTerrainDuration"",""FireTerrainCellRadiusActorStat"":""EngineExplodeFireRadius"",""FireTerrainChanceActorStat"":""EngineExplodeFireChance"",""FireTerrainStrengthActorStat"":""EngineExplodeFireStrength"",""HeatActorStat"":""EngineExplodeHeat"",""RangeActorStat"":""EngineExplodeRange"",""StabilityActorStat"":""EngineExplodeStability"",""TempDesignMask"":""DesignMaskRadiation"",""TempDesignMaskActorStat"":""EngineExplodeDesignMask"",""TempDesignMaskCellRadiusActorStat"":""EngineExplodeDesignMaskRadius"",""TempDesignMaskTurnsActorStat"":""EngineExplodeDesignMaskDuration"",""VFX"":""WFX_Nuke"",""VFXActorStat"":""EngineExplodeVFX""},""NoUniqueCheck"":true,""statusEffects"":[]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"""Heatsink""","""HeatSink""",12250000,"""emod_Pirate_FuelCell""",5,"""""",0,"""This was a Light Engine until someone ripped out the Fusion compartment and wired a Fuel Cell into its assembly. They even managed to improve the energy converters wired into it. I can repair it, but this thing can never leave this 'Mech or be used otherwise. Cannot use Additional Cooling Kits, Exchanger or Banks.""","""CenterTorso""","""X2 Weight""","""""","[""component_type_stock"",""FuelCell""]","""""",false,,,"{""Bonuses"":[""EngineWeight: X1.4"",""HeatGenerated: -80%""]}",,"[{""CategoryID"":""EngineShield""},{""CategoryID"":""EnginePart""},{""CategoryID"":""Cooling""},{""CategoryID"":""EngineHeatBlock""}]",,"{""flags"":[""vital"",""engine_part"",""not_broken"",""no_salvage"",""autorepair""]}","{""SortKey"":""00013""}","{""Links"":[{""ComponentDefId"":""emod_engineslots_size2"",""Location"":""LeftTorso""},{""ComponentDefId"":""emod_engineslots_size2"",""Location"":""RightTorso""}]}","{""EngineFactor"":1.4}","{""Install"":{""CBillCost"":""12000 * [[Chassis.Tonnage]] * [[Chassis.Tonnage]] / 30"",""TechCost"":""[[Chassis.Tonnage]] / 2""}}","""power-generator""","""Vlar""","""Fuel Cell""","""Fuel Cell Engine""",false,99,"""Fuel Cell (P)""","""All""","[{""Description"":{""Details"":""Heat generation increased by 15%."",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""StatusEffect-Heat_ICE"",""Name"":""Increased Heat""},""durationData"":{""duration"":-1,""stackLimit"":1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.2"",""operation"":""Float_Multiply"",""statName"":""HeatGenerated"",""targetCollection"":""Weapon""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}},{""Description"":{""Details"":""Engine very boom"",""Icon"":""uixSvgIcon_equipment_Cockpit"",""Id"":""FuelCellExplosionRange"",""Name"":""FuelCell EXTRA CRITICAL""},""durationData"":{""duration"":-1,""stackLimit"":-1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""effectsPersistAfterDestruction"":true,""modType"":""System.Single"",""modValue"":""0.5"",""operation"":""Float_Multiply"",""statName"":""EngineExplodeRange""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""showInStatusPanel"":false,""showInTargetPreview"":false}},{""Description"":{""Details"":""Engine very boom"",""Icon"":""uixSvgIcon_equipment_Cockpit"",""Id"":""FuelCellExplosionDamage"",""Name"":""FuelCell EXTRA CRITICAL""},""durationData"":{""duration"":-1,""stackLimit"":-1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""effectsPersistAfterDestruction"":true,""modType"":""System.Single"",""modValue"":""0.1"",""operation"":""Float_Multiply"",""statName"":""EngineExplodeDamage""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""showInStatusPanel"":false,""showInTargetPreview"":false}},{""Description"":{""Details"":""Engine very boom"",""Icon"":""uixSvgIcon_equipment_Cockpit"",""Id"":""FuelCellExplosionHeat"",""Name"":""FuelCell EXTRA CRITICAL""},""durationData"":{""duration"":-1,""stackLimit"":-1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""effectsPersistAfterDestruction"":true,""modType"":""System.Single"",""modValue"":""2"",""operation"":""Float_Multiply"",""statName"":""EngineExplodeHeat""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""showInStatusPanel"":false,""showInTargetPreview"":false}},{""Description"":{""Details"":""Engine very boom"",""Icon"":""uixSvgIcon_equipment_Cockpit"",""Id"":""FuelCellExplosionStability"",""Name"":""FuelCell EXTRA CRITICAL""},""durationData"":{""duration"":-1,""stackLimit"":-1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""effectsPersistAfterDestruction"":true,""modType"":""System.Single"",""modValue"":""0.1"",""operation"":""Float_Multiply"",""statName"":""EngineExplodeStability""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""showInStatusPanel"":false,""showInTargetPreview"":false}},{""Description"":{""Details"":""Engine very boom"",""Icon"":""uixSvgIcon_equipment_Cockpit"",""Id"":""FuelCellExplosionFireStrength"",""Name"":""FuelCell EXTRA CRITICAL""},""durationData"":{""duration"":-1,""stackLimit"":-1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""effectsPersistAfterDestruction"":true,""modType"":""System.Single"",""modValue"":""1.5"",""operation"":""Float_Multiply"",""statName"":""EngineExplodeFireStrength""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""showInStatusPanel"":false,""showInTargetPreview"":false}},{""Description"":{""Details"":""Engine very boom"",""Icon"":""uixSvgIcon_equipment_Cockpit"",""Id"":""FuelCellExplosionFireRadius"",""Name"":""FuelCell EXTRA CRITICAL""},""durationData"":{""duration"":-1,""stackLimit"":-1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""effectsPersistAfterDestruction"":true,""modType"":""System.Single"",""modValue"":""2"",""operation"":""Float_Multiply"",""statName"":""EngineExplodeFireRadius""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""showInStatusPanel"":false,""showInTargetPreview"":false}},{""Description"":{""Details"":""Engine very boom"",""Icon"":""uixSvgIcon_equipment_Cockpit"",""Id"":""FuelCellExplosionMaskRadius"",""Name"":""FuelCell EXTRA CRITICAL""},""durationData"":{""duration"":-1,""stackLimit"":-1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""effectsPersistAfterDestruction"":true,""modType"":""System.Single"",""modValue"":""1.3"",""operation"":""Float_Multiply"",""statName"":""EngineExplodeDesignMaskRadius""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""showInStatusPanel"":false,""showInTargetPreview"":false}}]","{""CanNotBeActivatedManualy"":true,""ExplodeOnDamage"":true,""Explosion"":{""Chance"":0.01,""ChanceActorStat"":""EngineExplodeChance"",""DamageActorStat"":""EngineExplodeDamage"",""FireDurationWithoutForestActorStat"":""EngineExplodeTerrainDuration"",""FireTerrainCellRadiusActorStat"":""EngineExplodeFireRadius"",""FireTerrainChanceActorStat"":""EngineExplodeFireChance"",""FireTerrainStrengthActorStat"":""EngineExplodeFireStrength"",""HeatActorStat"":""EngineExplodeHeat"",""RangeActorStat"":""EngineExplodeRange"",""StabilityActorStat"":""EngineExplodeStability"",""TempDesignMask"":""DesignMaskSmoke"",""TempDesignMaskActorStat"":""EngineExplodeDesignMask"",""TempDesignMaskCellRadiusActorStat"":""EngineExplodeDesignMaskRadius"",""TempDesignMaskTurnsActorStat"":""EngineExplodeDesignMaskDuration"",""VFX"":""vfxPrfPrtl_artilleryImpact_single"",""VFXActorStat"":""EngineExplodeVFX""},""NoUniqueCheck"":true,""statusEffects"":[]}",,,,,,,,,,,,,,,,,"{""ItemID"":""emod_engineslots_FuelCell""}",,,"{""HeatSinkCount"":0}","{""HeatSinkDefId"":""Gear_HeatSink_Generic_Standard""}",,,,,,
0,"""Heatsink""","""HeatSink""",8666667,"""emod_engine_500""",1,"""""",462.5,"""Fusion engines function by harnessing the power of a fusion reaction, running on light hydrogen and protium.\r\nFusion engines are defined by their <b>engine rating</b>. Above a rating of 400, however, the costs of building and operating a fusion engine begins to increase geometrically.""","""CenterTorso""","""- 30 Heat / Turn""","""+ 7 Slots""","[""component_type_stock""]","""""",false,,,"{""Bonuses"":[""EngineHSCap: 10""]}",,"[{""CategoryID"":""EngineCore""},{""CategoryID"":""EnginePart""}]",,"{""flags"":[""vital""]}","{""SortKey"":""0014""}",,,"{""Install"":{""CBillCost"":""500 * [[Chassis.Tonnage]] * [[Chassis.Tonnage]] / 5"",""TechCost"":""500 * [[Chassis.Tonnage]] / 1500""}}","""enginecore""","""EXP""","""Engine Core""","""Engine Core 500""",true,4,"""Engine Core 500""","""All""",null,"{""CanNotBeActivatedManualy"":true,""ExplodeOnDamage"":true,""Explosion"":{""ChanceActorStat"":""EngineExplodeChance"",""Damage"":425,""DamageActorStat"":""EngineExplodeDamage"",""FireDurationWithoutForest"":1,""FireDurationWithoutForestActorStat"":""EngineExplodeTerrainDuration"",""FireTerrainCellRadius"":21,""FireTerrainCellRadiusActorStat"":""EngineExplodeFireRadius"",""FireTerrainChance"":1,""FireTerrainChanceActorStat"":""EngineExplodeFireChance"",""FireTerrainStrength"":43,""FireTerrainStrengthActorStat"":""EngineExplodeFireStrength"",""Heat"":85,""HeatActorStat"":""EngineExplodeHeat"",""Range"":213,""RangeActorStat"":""EngineExplodeRange"",""Stability"":70.8,""StabilityActorStat"":""EngineExplodeStability"",""TempDesignMaskActorStat"":""EngineExplodeDesignMask"",""TempDesignMaskCellRadius"":28,""TempDesignMaskCellRadiusActorStat"":""EngineExplodeDesignMaskRadius"",""TempDesignMaskTurns"":2,""TempDesignMaskTurnsActorStat"":""EngineExplodeDesignMaskDuration"",""VFXActorStat"":""EngineExplodeVFX""},""NoUniqueCheck"":true,""statusEffects"":[]}",,,,,,,,,,,,0,,,,,,,"{""Rating"":""500""}",,,,,,,,
0,"""Heatsink""","""HeatSink""",6250000,"""emod_engineslots_xxl_center""",2,"""""",0,"""The Extra-Extralight Fusion Engine is mechanically similar to a Fusion Engine but uses much lighter radiation shielding. The XXL fusion engine is one third the mass for the same performance, but extrudes into the side torsos of a Battlemech and produces additional waste heat.""","""CenterTorso""","""- 66% Engine Weight""","""+ 12 Slots Required""","[""component_type_stock""]","""""",false,,,"{""Bonuses"":[""EngineWeight: -66%"",""EngineReserved: 12""]}",,"[{""CategoryID"":""EngineShield""},{""CategoryID"":""EnginePart""}]",,"{""flags"":[""vital"",""not_broken""]}","{""SortKey"":""00013""}","{""Links"":[{""ComponentDefId"":""emod_engineslots_size6"",""Location"":""LeftTorso""},{""ComponentDefId"":""emod_engineslots_size6"",""Location"":""RightTorso""}]}","{""EngineFactor"":0.333,""ReservedSlots"":12}","{""Install"":{""CBillCost"":""12000 * [[Chassis.Tonnage]] * [[Chassis.Tonnage]] / 40"",""TechCost"":""1.3 * [[Chassis.Tonnage]] / 2""}}","""power-generator""","""Generic""","""Vlar XXL""","""XXL Engine""",true,5,"""Engine XXL""","""All""",,"{""CanNotBeActivatedManualy"":true,""ExplodeOnDamage"":true,""Explosion"":{""Chance"":0.01,""ChanceActorStat"":""EngineExplodeChance"",""DamageActorStat"":""EngineExplodeDamage"",""FireDurationWithoutForestActorStat"":""EngineExplodeTerrainDuration"",""FireTerrainCellRadiusActorStat"":""EngineExplodeFireRadius"",""FireTerrainChanceActorStat"":""EngineExplodeFireChance"",""FireTerrainStrengthActorStat"":""EngineExplodeFireStrength"",""HeatActorStat"":""EngineExplodeHeat"",""RangeActorStat"":""EngineExplodeRange"",""StabilityActorStat"":""EngineExplodeStability"",""TempDesignMask"":""DesignMaskRadiation"",""TempDesignMaskActorStat"":""EngineExplodeDesignMask"",""TempDesignMaskCellRadiusActorStat"":""EngineExplodeDesignMaskRadius"",""TempDesignMaskTurnsActorStat"":""EngineExplodeDesignMaskDuration"",""VFX"":""WFX_Nuke"",""VFXActorStat"":""EngineExplodeVFX""},""NoUniqueCheck"":true,""statusEffects"":[]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"""Heatsink""","""HeatSink""",5666667,"""emod_engine_425""",1,"""""",79.5,"""Fusion engines function by harnessing the power of a fusion reaction, running on light hydrogen and protium.\r\nFusion engines are defined by their <b>engine rating</b>. Above a rating of 400, however, the costs of building and operating a fusion engine begins to increase geometrically.""","""CenterTorso""","""- 30 Heat / Turn""","""+ 7 Slots""","[""component_type_stock""]","""""",false,,,"{""Bonuses"":[""EngineHSCap: 7""]}",,"[{""CategoryID"":""EngineCore""},{""CategoryID"":""EnginePart""}]",,"{""flags"":[""vital""]}","{""SortKey"":""0014""}",,,"{""Install"":{""CBillCost"":""425 * [[Chassis.Tonnage]] * [[Chassis.Tonnage]] / 10"",""TechCost"":""425 * [[Chassis.Tonnage]] / 2000""}}","""enginecore""","""EXP""","""Engine Core""","""Engine Core 425""",true,4,"""Engine Core 425""","""All""",null,"{""CanNotBeActivatedManualy"":true,""ExplodeOnDamage"":true,""Explosion"":{""ChanceActorStat"":""EngineExplodeChance"",""Damage"":425,""DamageActorStat"":""EngineExplodeDamage"",""FireDurationWithoutForest"":1,""FireDurationWithoutForestActorStat"":""EngineExplodeTerrainDuration"",""FireTerrainCellRadius"":21,""FireTerrainCellRadiusActorStat"":""EngineExplodeFireRadius"",""FireTerrainChance"":1,""FireTerrainChanceActorStat"":""EngineExplodeFireChance"",""FireTerrainStrength"":43,""FireTerrainStrengthActorStat"":""EngineExplodeFireStrength"",""Heat"":85,""HeatActorStat"":""EngineExplodeHeat"",""Range"":213,""RangeActorStat"":""EngineExplodeRange"",""Stability"":70.8,""StabilityActorStat"":""EngineExplodeStability"",""TempDesignMaskActorStat"":""EngineExplodeDesignMask"",""TempDesignMaskCellRadius"":28,""TempDesignMaskCellRadiusActorStat"":""EngineExplodeDesignMaskRadius"",""TempDesignMaskTurns"":2,""TempDesignMaskTurnsActorStat"":""EngineExplodeDesignMaskDuration"",""VFXActorStat"":""EngineExplodeVFX""},""NoUniqueCheck"":true,""statusEffects"":[]}",,,,,,,,,,,,0,,,,,,,"{""Rating"":""425""}",,,,,,,,
0,"""Heatsink""","""HeatSink""",5500000,"""emod_engineslots_xl_proto""",5,"""""",0,"""A StarLeague Era Prototype XL Engine that does not protrude into the side torsos but suffers increased heat generation.""","""CenterTorso""","""- 50% Engine Weight""","""+ 6 Slots Required""","[""BLACKLISTED"",""component_type_stock""]","""""",false,,,"{""Bonuses"":[""EngineWeight: -50%"",""HeatGenerated: +20%"",""HeatPerTurn: +10"",""EngineReserved: 4""]}",,"[{""CategoryID"":""EngineShield""},{""CategoryID"":""EnginePart""}]",,"{""flags"":[""engine_part"",""not_broken"",""no_salvage"",""autorepair""]}","{""SortKey"":""00013""}",,"{""EngineFactor"":0.5}","{""Install"":{""CBillCost"":""12000 * [[Chassis.Tonnage]] * [[Chassis.Tonnage]] / 35"",""TechCost"":""1.2 * [[Chassis.Tonnage]] / 2""}}","""power-generator""","""Lostech""","""Extra-light""","""XL Engine""",true,99,"""Prototype XL""","""All""","[{""Description"":{""Details"":""Heat generation increased by 15%."",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""StatusEffect-Heat_ICE"",""Name"":""Increased Heat""},""actorBurningData"":null,""durationData"":{""clearedWhenAttacked"":false,""duration"":-1,""stackLimit"":1,""ticksOnActivations"":false,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":false},""effectType"":""StatisticEffect"",""floatieData"":null,""instantModData"":null,""nature"":""Buff"",""poorlyMaintainedEffectData"":null,""statisticData"":{""additionalRules"":""NotSet"",""appliesEachTick"":false,""effectsPersistAfterDestruction"":false,""modType"":""System.Single"",""modValue"":""1.2"",""operation"":""Float_Multiply"",""statName"":""HeatGenerated"",""targetAmmoCategory"":""NotSet"",""targetCollection"":""Weapon"",""targetWeaponCategory"":""NotSet"",""targetWeaponSubType"":""NotSet"",""targetWeaponType"":""NotSet""},""tagData"":null,""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0},""vfxData"":null},{""Description"":{""Details"":""Maintains a constant heat generation of 10."",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""StatusEffect-Heat_LaserAMS"",""Name"":""Increased Heat""},""actorBurningData"":null,""durationData"":{""clearedWhenAttacked"":false,""duration"":-1,""stackLimit"":1,""ticksOnActivations"":false,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":false},""effectType"":""StatisticEffect"",""floatieData"":null,""instantModData"":null,""nature"":""Debuff"",""poorlyMaintainedEffectData"":null,""statisticData"":{""additionalRules"":""NotSet"",""appliesEachTick"":false,""effectsPersistAfterDestruction"":false,""modType"":""System.Int32"",""modValue"":""-10"",""operation"":""Int_Add"",""statName"":""HeatSinkCapacity"",""targetAmmoCategory"":""NotSet"",""targetCollection"":""NotSet"",""targetWeaponCategory"":""NotSet"",""targetWeaponSubType"":""NotSet"",""targetWeaponType"":""NotSet""},""tagData"":null,""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0},""vfxData"":null}]",,,,,,,,,,,,,,,,,,"{""ItemID"":""emod_engineslots_xl_center""}",,,,,,,,,,
0,"""Heatsink""","""HeatSink""",4600000,"""emod_kit_dhs_proto""",1,"""""",0,"""Converts an SHS engine to use Prototype Double Heatsinks. Treating the Engines <b>Cooling System</b> with this experimental system improves the general performance at risk of a Fatal Explosion. <b><color=#099ff2>VOLATILE!</color></b>""","""CenterTorso""","""""","""""","[""component_type_stock""]","""""",false,,,"{""Bonuses"":[""CoolingSystemProtoDHS"",""TEHeatgen: -30%"",""BankBoom: 40""]}",,"[{""CategoryID"":""Cooling""},{""CategoryID"":""EnginePart""}]",,,"{""SortKey"":""00016""}",,,"{""Default"":{""CBillCost"":""10 * [[Chassis.Tonnage]] * [[Chassis.Tonnage]] / 10"",""TechCost"":""[[Chassis.Tonnage]] / 5""},""Install"":{""CBillCost"":""10 * [[Chassis.Tonnage]] * [[Chassis.Tonnage]] / 10"",""TechCost"":""[[Chassis.Tonnage]] / 5""}}","""thermometer-cold""","""Prototype""","""Engine Kit""","""Proto DHS Engine Kit""",true,7,"""Heat Sink Kit (Prototype)""","""All""","[{""Description"":{""Details"":""Heat generation reduced by 10%."",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""PDHSKitHeatGen"",""Name"":""HEAT GENERATION DECREASED""},""durationData"":{""duration"":-1,""stackLimit"":-1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.7"",""operation"":""Float_Multiply"",""statName"":""HeatGenerated"",""targetCollection"":""Weapon""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""showInStatusPanel"":false,""showInTargetPreview"":false}}]",,,,,,,,,,,,,0,,,"{""ExplosionDamage"":40,""HeatDamage"":40,""StabilityDamage"":40}",,,,,,"{""HeatSinkDefId"":""Gear_HeatSink_Prototype_Double""}",,,,,,
0,"""Heatsink""","""HeatSink""",4500000,"""emod_engineslots_cxl_center""",2,"""""",0,"""The Extralight Fusion Engine is mechanically similar to a Fusion Engine but uses much lighter radiation shielding. The XL fusion engine is half the mass for the same performance. The Clan XL fusion engine is 66% larger than the standard fusion engine and intrudes into the side torso bays of a BattleMech.""","""CenterTorso""","""50% Engine Weight""","""Reserves 4 Slots""","[""component_type_stock""]","""""",false,,,"{""Bonuses"":[""EngineWeight: -50%"",""EngineReserved: 4""]}",,"[{""CategoryID"":""EngineShield""},{""CategoryID"":""EnginePart""}]",,"{""flags"":[""vital"",""engine_part"",""not_broken""]}","{""SortKey"":""00013""}","{""Links"":[{""ComponentDefId"":""emod_engineslots_size2"",""Location"":""LeftTorso""},{""ComponentDefId"":""emod_engineslots_size2"",""Location"":""RightTorso""}]}","{""EngineFactor"":0.5,""ReservedSlots"":4}","{""Install"":{""CBillCost"":""12000 * [[Chassis.Tonnage]] * [[Chassis.Tonnage]] / 35"",""TechCost"":""1.3 * [[Chassis.Tonnage]] / 2""}}","""power-generator""","""Generic""","""Starfire Clan XL""","""XL Engine (C)""",true,0,"""Engine XL (C)""","""All""",null,"{""CanNotBeActivatedManualy"":true,""ExplodeOnDamage"":true,""Explosion"":{""Chance"":0.02,""ChanceActorStat"":""EngineExplodeChance"",""DamageActorStat"":""EngineExplodeDamage"",""FireDurationWithoutForestActorStat"":""EngineExplodeTerrainDuration"",""FireTerrainCellRadiusActorStat"":""EngineExplodeFireRadius"",""FireTerrainChanceActorStat"":""EngineExplodeFireChance"",""FireTerrainStrengthActorStat"":""EngineExplodeFireStrength"",""HeatActorStat"":""EngineExplodeHeat"",""RangeActorStat"":""EngineExplodeRange"",""StabilityActorStat"":""EngineExplodeStability"",""TempDesignMask"":""DesignMaskRadiation"",""TempDesignMaskActorStat"":""EngineExplodeDesignMask"",""TempDesignMaskCellRadiusActorStat"":""EngineExplodeDesignMaskRadius"",""TempDesignMaskTurnsActorStat"":""EngineExplodeDesignMaskDuration"",""VFX"":""WFX_Nuke"",""VFXActorStat"":""EngineExplodeVFX""},""NoUniqueCheck"":true,""statusEffects"":[]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"""Heatsink""","""HeatSink""",3500000,"""emod_kit_cdhs""",1,"""""",0,"""Converts an SHS engine to CDHS. A Mech' <b>Cooling System</b> provides heat dissipation for components inside the mech and compatible extension points for additional heat sinks throughout the mech. It differs from the closed cooling system of the engine.""","""CenterTorso""","""""","""""","[""component_type_stock""]","""""",false,,,"{""Bonuses"":[""CoolingSystemCDHS""]}",,"[{""CategoryID"":""Cooling""},{""CategoryID"":""EnginePart""}]",,,"{""SortKey"":""00016""}",,,"{""Default"":{""CBillCost"":""10 * [[Chassis.Tonnage]] * [[Chassis.Tonnage]] / 10"",""TechCost"":""[[Chassis.Tonnage]] / 5""},""Install"":{""CBillCost"":""10 * [[Chassis.Tonnage]] * [[Chassis.Tonnage]] / 10"",""TechCost"":""[[Chassis.Tonnage]] / 5""}}","""thermometer-cold""","""Clan""","""Engine Kit""","""Engine Kit (C)""",true,0,"""Heat Sink Kit (C)""","""All""",null,,,,,,,,,,,,,0,,,,,,,,,"{""HeatSinkDefId"":""Gear_HeatSink_Generic_Double_Clan""}",,,,,,
0,"""Heatsink""","""HeatSink""",3500000,"""emod_kit_dhs_royal""",1,"""""",0,"""A SLDF Era Royal Double Heat Sink Kit provides superior cooling capabilities.""","""CenterTorso""","""""","""""","[""BLACKLISTED"",""component_type_stock""]","""""",false,,,"{""Bonuses"":[""CoolingSystemDHS"",""TEHeatgen: -8%"",""HeatPerTurn: -6""]}",,"[{""CategoryID"":""Cooling""},{""CategoryID"":""EnginePart""}]",,"{""flags"":[""default"",""not_broken"",""no_salvage"",""autorepair""]}","{""SortKey"":""00016""}",,,"{""Default"":{""CBillCost"":""10 * [[Chassis.Tonnage]] * [[Chassis.Tonnage]] / 10"",""TechCost"":""[[Chassis.Tonnage]] / 5""},""Install"":{""CBillCost"":""10 * [[Chassis.Tonnage]] * [[Chassis.Tonnage]] / 10"",""TechCost"":""[[Chassis.Tonnage]] / 5""}}","""thermometer-cold""","""Lostech""","""Engine Kit""","""DHS Engine Kit""",true,99,"""Royal Sink Kit (D)""","""All""","[{""Description"":{""Details"":""Heat generation reduced by 10%."",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""StatusEffect-Heat_GenReduction-Royal"",""Name"":""HEAT GENERATION DECREASED""},""durationData"":{""duration"":-1,""stackLimit"":1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.92"",""operation"":""Float_Multiply"",""statName"":""HeatGenerated"",""targetCollection"":""Weapon""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""showInStatusPanel"":false,""showInTargetPreview"":false}}]",,,,,,,,,,,,,6,,,,,,,,,"{""HeatSinkDefId"":""Gear_HeatSink_Generic_Double""}",,,,,,
