ammocategory,battlevalue,category,componentsubtype,componenttype,damage,description_cost,description_id,heatdamage,heatgenerated,instability,inventorysize,prefabidentifier,rangesplit,tonnage,description_details,aoecapable,accuracymodifier,allowedlocations,attackrecoil,bonusvaluea,bonusvalueb,canthitunaffecedbypathing,componenttags_items,componenttags_tagsetsourcefile,criticalchancemultiplier,criticalcomponent,custom_category,custom_flags,damagevariance,description_icon,description_manufacturer,description_model,description_name,description_purchasable,description_rarity,description_uiname,disallowedlocations,evasivedamagemultiplier,evasivepipsignored,fireonsuccesshit,fireterrainchance,indirectfirecapable,maxrange,minrange,overheateddamagemultiplier,projectilespershot,refiremodifier,shotswhenfired,startingammocapacity,type,weaponeffectid,weaponsubtype,statuseffects,ammocategoryid,custom_bonusdescriptions,missilehealth,amsshootseveryattack,aparmorshardsmod,apcriticalchancemultiplier,apmaxarmorthickness,auras,custom_inventorysorter,isaams,isams,modes,notuseinmelee,improvedballistic,additionalimpactvfx,additionalimpactvfxscalex,additionalimpactvfxscaley,additionalimpactvfxscalez,colorchangerule,colorstable,custom_componentexplosion,projectilescale_x,projectilescale_y,projectilescale_z,weaponcategoryid,ballisticdamageperpallet,damagenotdivided,distantvariance,distantvariancereversed,firedelaymultiplier,isdamagevariation,isheatvariation,isstabilityvariation,volleydivisor,cooldown,custom_armorrepair,custom_color,custom_linked,custom_workordercosts,structuredamage,canexplode,additionaldata,custom_lootable,damageonjamming,amshitchance,aoeeffectsfalloff,projectilespeedmultiplier,amsimmune,aoedamage,aoeinstability,aoerange,directfiremodifier,aoeheatdamage,alwaysindirectvisuals,hitgenerator,streak,clearminefieldradius,fireterraincellradius,fireterrainstrength,chassistagsaccuracymodifiers_unit_vtol,unguided,deferredeffect_aoedamage,deferredeffect_aoeheatdamage,deferredeffect_aoeinstability,deferredeffect_aoerange,deferredeffect_firedurationwithoutforest,deferredeffect_fireterraincellradius,deferredeffect_fireterrainchance,deferredeffect_fireterrainstrength,deferredeffect_rangecolor,deferredeffect_sfx,deferredeffect_terrainvfx,deferredeffect_terrainvfxscale,deferredeffect_vfx,deferredeffect_vfxtime,deferredeffect_damageapplytime,deferredeffect_id,deferredeffect_rounds,deferredeffect_statuseffects,deferredeffect_statuseffectsrangefalloff,deferredeffect_sticky,deferredeffect_tempdesignmask,deferredeffect_tempdesignmaskcellradius,deferredeffect_text,deferredeffect_waitvfx,alternatedamagecalc,disableclustering,chassistagsaccuracymodifiers_unit_powerarmor,clusteringmodifier,missilevolleyintervalmultiplier,missilevolleysize,statuseffectsperhit,spreadrange,colorspeedchange,flatjammingchance,shotsperammo,apdamage,gunneryjammingbase,gunneryjammingmult,evasivepipsmods_damage,evasivepipsmods_generatedheat,evasivepipsmods_instablility,firedurationwithoutforest,armordamagemodifier,custom_activatablecomponent,custom_armactuator,isdamagemodifier,custom_handheld,custom_mechconfiguration,evasivepipsmods_apcriticalchancemultiplier,evasivepipsmods_accuracymodifier,evasivepipsmods_criticalchancemultiplier,evasivepipsmods_flatjammingchance,evasivepipsmods_refiremodifier,custom_criticaleffects,custom_vehiclecriticaleffects,destroyonjamming,iffdef
"""LBX10IntCluster""",0,,"""Weapon""","""Weapon""",100,252000,"""Weapon_Hand_BoomStick""",0,0,5,1,"""AC10""","[90,300,480]",0,"""Leave it to some Periphery Junkhead to take a perfectly fine LBX and Redneck it into a 'Sawed Off Shotgun' and scribble stuff all over, where do they get this stuff... 'Klaatu barada nihikturhun'..... \n\n <b><color=#ffcc00>Internal Ammo 10 Shots</color></b>""",false,0,"""CenterTorso""",4,"""""","""""",,"[""component_type_stock"",""range_long""]","""""",1,false,"[{""CategoryID"":""HandHeld""},{""CategoryID"":""w/s/h/HandHeld""}]","{""flags"":[""not_broken"",""not_destroyed"",""ignore_damage""]}",0,"""shotgun""","""GROOVY!""","""Sawed Off""","""LBX AC/10""",true,0,"""BOOMSTICK! LBX/10""","""All""",0,0,,0.05,false,560,0,0,1,3,1,10,"""Autocannon""","""WeaponEffect-Weapon_AC10_Single""","""AC10""","[{""Description"":{""Details"":""Melee attacks deal 50% Extra damage."",""Icon"":""uixSvgIcon_equipment_ActuatorArm"",""Id"":""StatusEffect-HandMelee"",""Name"":""Hand Melee Damage""},""durationData"":{""duration"":-1,""stackLimit"":-1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""1.15"",""operation"":""Float_Multiply"",""statName"":""DamagePerShot"",""targetCollection"":""Weapon"",""targetWeaponSubType"":""Melee""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""showInStatusPanel"":false,""showInTargetPreview"":false}},{""Description"":{""Details"":""Melee attacks deal 20% Extra stab damage."",""Icon"":""uixSvgIcon_equipment_ActuatorArm"",""Id"":""StatusEffect-HandMeleeStab"",""Name"":""Hand Melee Damage""},""durationData"":{""duration"":-1,""stackLimit"":-1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""1.15"",""operation"":""Float_Multiply"",""statName"":""Instability"",""targetCollection"":""Weapon"",""targetWeaponSubType"":""Melee""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""showInStatusPanel"":false,""showInTargetPreview"":false}},{""Description"":{""Details"":""Melee attacks deal 20 more damage and have +2 Accuracy."",""Icon"":""uixSvgIcon_equipment_ActuatorArm"",""Id"":""StatusEffect-ClawsMelee"",""Name"":""SHREDDER CLAWS""},""durationData"":{""duration"":-1,""stackLimit"":-1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""10.0"",""operation"":""Float_Add"",""statName"":""DamagePerShot"",""targetCollection"":""Weapon"",""targetWeaponSubType"":""Melee""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""showInStatusPanel"":false,""showInTargetPreview"":false}}]",,"{""Bonuses"":[""HandHeldMelee: 10"",""WpnRecoil: 3"",""Shotgun"",""ShotgunCluster: 10, 130, 20%"",""Melee: +15%"",""Melee2: +10"",""MeleeStab: +15%"",""HandHeldAmmo: 10"",""HandHeldArmored""]}",,,1,0.3,120,,"{""SortKey"":""01023""}",,,,,true,,,,,,,,,,,"""SpecialMelee""",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,,,,,,,,,,,,,,,,,,,,,"{""HandsUsed"":true,""Tonnage"":10}",{},,,,,,,,,
"""NotSet""",0,,"""Weapon""","""Weapon""",2,80000,"""Weapon_PowerArmor_Mortar""",0,1,2,1,"""AC2""","[160,210,260]",0.35,"""A Battle Armor Mortar with Enough munitions to last any battle. \n\n<b><color=#ffcc00>Battle Armor Weapons can only be mounted on Powered Armor Units.</color></b>""",true,-1,"""All""",1,"""""","""""",true,"[""component_type_stock"",""range_extreme"",""paweapon""]","""""",1,false,"[{""CategoryID"":""w/a/o/mortar""}]",,0,"""mortar""","""Valiant""","""Grenade""","""Grenade Launcher""",true,0,"""BA Mortar""","""All""",0,0,,0.01,true,330,0,0,1,0,1,0,"""Autocannon""","""WeaponEffect-Weapon_LRM5""","""AC2""",[],,"{""Bonuses"":[""BANOAMMO"",""BAWEAPON"",""PipsIgnored: +1"",""WpnAccuracy: +1"",""Indirect"",""NoAA"",""IsMortar""]}",,,0.5,0.1,40,,"{""SortKey"":""03011""}",,,,,,,,,,,,,,,,"""BattleArmor""",,,,,,,,,,,,,,,,,,,,,,,true,6,1,30,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
"""Flamer""",0,,"""Weapon""","""Weapon""",10,50000,"""Weapon_PowerArmor_Rifle""",0,0,3,1,"""AC2""","[100,150,200]",0.25,"""A Battle Armor Recoilless Rifle with 20 shots. \n\n<b><color=#ffcc00>Battle Armor Weapons can only be mounted on Powered Armor Units.</color></b>""",false,-1,"""All""",2,"""""","""""",,"[""paweapon"",""component_type_stock"",""range_very-long""]","""""",0,false,"[{""CategoryID"":""w/s/m/pa""}]","{""flags"":[""not_broken"",""not_destroyed""]}",0,"""uixSvgIcon_weapon_Ballistic""","""GM""","""Light Bore Cannon""","""Light Rifle""",true,0,"""BA Rifle""","""All""",0,1,,0.01,false,250,0,0,1,1,1,20,"""Autocannon""","""WeaponEffect-Weapon_AC2""","""AC2""",[],,"{""Bonuses"":[""BAWEAPON"",""PipsIgnored: +1"",""WpnAccuracy: +1""]}",,,0.6,0.067,30,,"{""SortKey"":""01301""}",,,,,true,,,,,,,,,,,"""BattleArmor""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Flamer""",0,,"""Weapon""","""Weapon""",10,50000,"""Weapon_PowerArmor_Rifle_CLAN""",0,0,8,1,"""AC2""","[100,150,200]",0.2,"""A Battle Armor Recoilless Rifle with 20 shots. \n\n<b><color=#ffcc00>Battle Armor Weapons can only be mounted on Powered Armor Units.</color></b>""",false,-1,"""All""",2,"""""","""""",,"[""paweapon"",""component_type_stock"",""range_very-long""]","""""",0,false,"[{""CategoryID"":""w/s/m/pa""}]","{""flags"":[""not_broken"",""not_destroyed""]}",0,"""uixSvgIcon_weapon_Ballistic""","""GM""","""Light Bore Cannon""","""Light Rifle""",true,0,"""BA Rifle (C)""","""All""",0,1,,0.01,false,250,0,0,1,1,1,20,"""Autocannon""","""WeaponEffect-Weapon_AC2""","""AC2""",[],,"{""Bonuses"":[""BAWEAPON"",""PipsIgnored: +1"",""WpnAccuracy: +1"",""ArmorDmgMod: -30%""]}",,,0.6,0.067,30,,"{""SortKey"":""01301""}",,,,,true,,,,,,,,,,,"""BattleArmor""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""NotSet""",0,,"""Weapon""","""Weapon""",4,50000,"""Weapon_PowerArmor_Shotgun""",0,0,2,1,"""AC2""","[60,90,120]",0.25,"""A Battle Armor boarding Shotgun. \n\n<b><color=#ffcc00>Battle Armor Weapons can only be mounted on Powered Armor Units.</color></b>""",false,0,"""All""",2,"""""","""""",,"[""paweapon"",""component_type_stock"",""range_very-long""]","""""",0,false,"[{""CategoryID"":""w/s/m/pa""}]","{""flags"":[""not_broken"",""not_destroyed""]}",0,"""uixSvgIcon_weapon_Ballistic""","""UAC""","""Painbringer""","""Light Rifle""",true,0,"""BA Shotgun""","""All""",0,2,,0.01,false,160,0,0,1,1,3,0,"""Autocannon""","""WeaponEffect-Weapon_AC2""","""AC2""",[],,"{""Bonuses"":[""PipsIgnored: +2"",""AccuracyUnit: Battle Armor"",""AccuracyUnit2: +10"",""BAWEAPON""]}",,,0.6,0.067,30,,"{""SortKey"":""01301""}",,,,,true,,,,,,,,,,,"""BattleArmor""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Flamer""",0,,"""Weapon""","""Weapon""",10,50000,"""Weapon_SM_Bolter""",0,0,8,1,"""AC2""","[100,150,200]",0.3,"""An Automatic Recoilless Pistol firing Gyrojet HEAP 'Bullets'. \n\n<b><color=#ffcc00>Battle Armor Weapons can only be mounted on Powered Armor Units.</color></b>""",false,-1,"""All""",2,"""""","""""",,"[""paweapon"",""component_type_stock"",""range_very-long"",""BLACKLISTED""]","""""",0,false,"[{""CategoryID"":""w/s/m/pa""}]","{""flags"":[""not_broken"",""not_destroyed""]}",0,"""uixSvgIcon_weapon_Ballistic""","""GM""","""Light Bore Cannon""","""Bolter""",true,0,"""Bolter""","""All""",0,1,,0.01,false,250,0,0,1,0,1,20,"""Autocannon""","""WeaponEffect-Weapon_AC2""","""AC2""",[],,"{""Bonuses"":[""BAWEAPON"",""PipsIgnored: +1"",""WpnAccuracy: +1"",""ArmorDmgMod: -30%""]}",,,0.6,0.067,30,,"{""SortKey"":""01301""}",,,,,true,,,,,,,,,,,"""BattleArmor""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""POD""",0,,"""Weapon""","""Weapon""",30,15000,"""Weapon_POD_B""",0,2,12.5,1,"""AC2""","[60,60,60]",0,"""Anti-Battle Armor Pod or B-Pod functions like an Anti-Personnel Pod except that it is designed to blast through the armor of battle suits. It does this by using explosive bomblets instead of shrapnel. <b><color=#099ff2>VOLATILE!</color></b>""",true,-2,"""CenterTorso""",4,"""""","""""",true,"[""component_type_stock"",""range_close""]","""""",1.5,false,"[{""CategoryID"":""w/s/h/BoltOn""},{""CategoryID"":""BoltOn""}]",,0,"""uixSvgIcon_weapon_Ballistic""","""Solaris Arms""","""Explosive Canister""","""Anti-BattleArmor Pod""",true,0,"""B POD""","""All""",0,10,,,false,60,0,0,4,0,1,1,"""SRM""","""WeaponEffect-Weapon_SRM2""","""SRM2""",[],,"{""Bonuses"":[""IsMelee"",""BoltOn: 2"",""1shot"",""NoSelfHarm"",""AreaOfEffectDmg: 25"",""AreaOfEffect: 120"",""PipsIgnored: 10"",""AccuracyUnit: PowerArmor"",""AccuracyUnit2: +20"",""AccuracyUnit: Mech/Vehicle"",""AccuracyUnit2: -100"",""NoAA""]}",,,0,0.5,200,,"{""SortKey"":""04002""}",,,,,true,,,,,,,"{""ExplosionDamagePerAmmo"":10,""StabilityDamagePerAmmo"":5}",,,,"""SpecialMelee""",,,,,,,,,,,,,,,,,,,,,,,true,6,6,120,,,true,"""Cluster""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""HandsUsed"":false,""Tonnage"":2}",{},,,,,,,,,"""notblanksowontdamageselfbutcandamagefriendlies"""
"""NotSet""",0,,"""Weapon""","""Weapon""",50,3800000,"""Weapon_Super_Chainsaw""",0,0,15,1,"""AC20""","[25,25,40]",0,"""This rare Industrial Chainsaw is usually found on Superheavy Forster Mechs designed to cut down trees to large for any normal Operation""",false,1,"""CenterTorso""",0,"""""","""""",true,"[""component_type_stock"",""range_close"",""MeleeWeapon.{location}""]","""""",1,false,"[{""CategoryID"":""HandHeld""},{""CategoryID"":""w/s/h/HandHeld""}]",,0,"""uixSvgIcon_weapon_Support""","""Bunyan""","""Logger""","""Titan Saw""",true,20,"""Titan Saw""","""All""",0,0,,,false,40,0,0,1,0,5,0,"""MachineGun""","""WeaponEffect-Weapon_MachineGun""","""MachineGun""","[{""Description"":{""Details"":""Melee attacks deal 20% Extra stab damage."",""Icon"":""uixSvgIcon_equipment_ActuatorArm"",""Id"":""StatusEffect-HandMeleeStab"",""Name"":""Hand Melee Damage""},""durationData"":{""duration"":-1,""stackLimit"":-1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""1.5"",""operation"":""Float_Multiply"",""statName"":""Instability"",""targetCollection"":""Weapon"",""targetWeaponSubType"":""Melee""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""showInStatusPanel"":false,""showInTargetPreview"":false}},{""Description"":{""Details"":""Melee attacks deal [AMT] more damage."",""Icon"":""uixSvgIcon_equipment_ActuatorArm"",""Id"":""StatusEffect-Attack_DamageMelee-T6"",""Name"":""MELEE DAMAGE INCREASED""},""durationData"":{""duration"":-1,""stackLimit"":-1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""100.0"",""operation"":""Float_Add"",""statName"":""DamagePerShot"",""targetCollection"":""Weapon"",""targetWeaponSubType"":""Melee""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""showInStatusPanel"":false,""showInTargetPreview"":false}},{""Description"":{""Details"":""Melee attacks have +2 Accuracy."",""Icon"":""uixSvgIcon_run_n_gun"",""Id"":""StatusEffect-EliteSword"",""Name"":""Solaris ChainSword""},""durationData"":{""duration"":-1,""stackLimit"":-1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""-2.0"",""operation"":""Float_Add"",""statName"":""AccuracyModifier"",""targetCollection"":""Weapon"",""targetWeaponSubType"":""Melee""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""showInStatusPanel"":false,""showInTargetPreview"":false}}]",,"{""Bonuses"":[""HandHeldMelee: 20"",""WpnAccuracy: -1"",""MeleeAcc: +2"",""Melee: +100"",""MeleeStab: +50%"",""NoAA""]}",,,100,1.5,100,,"{""SortKey"":""04001""}",,,,,,,,,,,,,,,,"""SpecialMelee""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""CanNotBeActivatedManualy"":true,""NoUniqueCheck"":true,""presistantVFX"":{""VFXPrefab"":""vfxPrfPrtl_miningSmokePlume_sm_loop"",""VFXScaleX"":0.5,""VFXScaleY"":0.5,""VFXScaleZ"":0.5}}",,,"{""HandsUsed"":true,""Tonnage"":20}",{},,,,,,,,,
"""NotSet""",0,,"""Weapon""","""Weapon""",8,1150000,"""Weapon_Elite_2_Chainsword""",0,0,7,1,"""AC20""","[25,25,40]",0,"""Agricultural mechs use arm-mounted Chainsaws to fell trees and harvest timber. This particular model was rebuild to look more like a Sword and is even for Solaris a rare sight that Rip and Tears the competition.""",false,-1,"""CenterTorso""",0,"""RipAndTear""","""+2 Melee Acc.""",true,"[""component_type_stock"",""range_close"",""MeleeWeapon.{location}""]","""""",1.2,false,"[{""CategoryID"":""HandHeld""},{""CategoryID"":""w/s/h/HandHeld""}]",,0,"""uixSvgIcon_run_n_gun""","""Deadly Sins""","""Ripper""","""Chainsword""",true,7,"""Chainsword""","""All""",0,0,,,false,40,0,0,1,0,4,0,"""MachineGun""","""WeaponEffect-Weapon_MachineGun""","""MachineGun""","[{""Description"":{""Details"":""Melee attacks have +2 Accuracy."",""Icon"":""uixSvgIcon_run_n_gun"",""Id"":""StatusEffect-EliteSword"",""Name"":""Solaris ChainSword""},""durationData"":{""duration"":-1,""stackLimit"":-1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""appliesEachTick"":false,""effectsPersistAfterDestruction"":false,""modType"":""System.Single"",""modValue"":""-2.0"",""operation"":""Float_Add"",""statName"":""AccuracyModifier"",""targetCollection"":""Weapon"",""targetWeaponSubType"":""Melee""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""showInStatusPanel"":false,""showInTargetPreview"":false}},{""Description"":{""Details"":""Melee attacks deal 20% Extra stab damage."",""Icon"":""uixSvgIcon_equipment_ActuatorArm"",""Id"":""StatusEffect-HandMeleeStab"",""Name"":""Hand Melee Damage""},""durationData"":{""duration"":-1,""stackLimit"":-1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""1.04"",""operation"":""Float_Multiply"",""statName"":""Instability"",""targetCollection"":""Weapon"",""targetWeaponSubType"":""Melee""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""showInStatusPanel"":false,""showInTargetPreview"":false}},{""Description"":{""Details"":""Melee attacks deal [AMT] more damage."",""Icon"":""uixSvgIcon_equipment_ActuatorArm"",""Id"":""StatusEffect-Attack_DamageMelee-T6"",""Name"":""MELEE DAMAGE INCREASED""},""durationData"":{""duration"":-1,""stackLimit"":-1},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""8.0"",""operation"":""Float_Add"",""statName"":""DamagePerShot"",""targetCollection"":""Weapon"",""targetWeaponSubType"":""Melee""},""targetingData"":{""effectTargetType"":""Creator"",""effectTriggerType"":""Passive"",""showInStatusPanel"":false,""showInTargetPreview"":false}}]",,"{""Bonuses"":[""HandHeldMelee: 3.5"",""WpnAccuracy: +1"",""WpnCrits: 20%"",""MeleeAcc: +2"",""Melee: +8"",""MeleeStab: +4%"",""NoAA""]}",,,0,0.5,1,,"{""SortKey"":""04001""}",,,,,,,,,,,,,,,,"""SpecialMelee""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""HandsUsed"":true,""Tonnage"":3.5}",{},,,,,,,,,
"""NotSet""",0,,"""Weapon""","""Weapon""",7,1150000,"""Weapon_Elite_2_Chainwhip""",0,0,12,1,"""AC20""","[25,25,40]",0,"""The Chain Whip was made to entangle enemy 'Mechs. Tested in the Word of Blake assault on Solaris, the first iteration used pure myomers and wasn't effective. The Blakists made it work by adding additional armor alloy chains to reinforce the myomers. This version of the Chain Whip worked well. Despite its limited damage, the Blakists found it useful for immobilizing enemy forces.""",false,-2,"""CenterTorso""",0,"""RipAndTear""","""+2 Melee Acc.""",true,"[""component_type_stock"",""range_close"",""HandHeld""]","""""",1.2,false,"[{""CategoryID"":""HandHeld""},{""CategoryID"":""w/s/h/HandHeld""}]","{""flags"":[""not_broken"",""not_destroyed"",""ignore_damage""]}",0,"""uixSvgIcon_run_n_gun""","""Word of Blake""","""Mauler""","""Chainwhip""",true,7,"""Chainwhip""","""All""",0,0,,,false,40,0,0,1,0,5,0,"""MachineGun""","""WeaponEffect-Weapon_MachineGun""","""MachineGun""","[{""Description"":{""Details"":""The Mech's Movement is reduced."",""Icon"":""uixSvgIcon_status_sensorsImpaired"",""Id"":""HAYWIRE-Effect1"",""Name"":""HAYWIRED""},""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":6,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Debuff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.8"",""operation"":""Float_Multiply"",""statName"":""WalkSpeed""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}}]",,"{""Bonuses"":[""HandHeldMelee: 3"",""WpnAccuracy: +1"",""ImpMove: 20%"",""NoAA"",""HandHeldArmored""]}",,,0,0.5,1,,"{""SortKey"":""04001""}",,,,,,,,,,,,,,,,"""SpecialMelee""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,"{""HandsUsed"":true,""Tonnage"":3}",{},,,,,,,,,
