category,description_cost,description_id,heatgenerated,instability,description_details,accuracymodifier,additionalimpactvfx,additionalimpactvfxscalex,additionalimpactvfxscaley,additionalimpactvfxscalez,aibattlevalue,alwaysindirectvisuals,ammocategoryid,ammunitiontypeid,amsdamage,amshitchance,aoecapable,aoedamage,aoeheatdamage,aoeinstability,aoerange,aparmorshardsmod,apcriticalchancemultiplier,apdamage,apmaxarmorthickness,armordamagemodifier,canbeexhaustedat,canthitunaffecedbypathing,chassistagsaccuracymodifiers_unit_powerarmor,chassistagsaccuracymodifiers_unit_vtol,clearminefieldradius,clusteringmodifier,colorchangerule,colorspeedchange,colorstable,criticalchancemultiplier,criticaldamagemodifier,damagemultiplier,damagepershot,damagevariance,description_name,description_purchasable,description_rarity,description_uiname,directfiremodifier,distantvariance,distantvariancereversed,evasivepipsignored,firedurationwithoutforest,fireonsuccesshit,fireterraincellradius,fireterrainchance,fireterrainstrength,flatjammingchance,hasshells,heatdamagepershot,heatgeneratedmodifier,hideifonlyvariant,hitgenerator,indirectfirecapable,isdamagemodifier,isdamagevariation,isstabilityvariation,longrange,maxmissradius,maxrange,maxshellsdistance,middlerange,minefield_aoedamage,minefield_aoeheat,minefield_aoeinstability,minefield_aoerange,minefield_canthitunaffecedbypathing,minefield_chance,minefield_count,minefield_damage,minefield_firedurationwithoutforest,minefield_fireonsuccesshit,minefield_fireterraincellradius,minefield_fireterrainchance,minefield_fireterrainstrength,minefield_heat,minefield_installcellrange,minefield_sfx,minefield_statuseffects,minefield_vfxmindistance,minefield_vfxprefab,minmissradius,minrange,minshellsdistance,missilehealth,projectilescale_x,projectilescale_y,projectilescale_z,projectilespeedmultiplier,projectilespershot,refiremodifier,shellsradius,shortrange,shotswhenfired,spreadrange,statuseffects,streak,tempdesignmaskcellradius,tempdesignmaskonimpact,tempdesignmaskonimpactturns,type,unguided,unseparateddamagemult,weaponeffectid
AC10,0,Ammunition_AC10_Precision,0,,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,t0,5,"[{""C"":""#0000CD"",""I"":5}]",,1,,,,AC/10 Ammo,0,0,Precision,,,,2,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AC10,0,Ammunition_AC10_Incendiary,0,,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.",,,,,,90,,,,,,,,,,,,,,,1,,,,,,,t0,5,"[{""C"":""#DC143C"",""I"":5}]",,1,0.6,,,AC/10 Ammo,0,0,Incendiary,,,,,,,,0.24,,,,24,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""Description"":{""Details"":""Reduce Heat Damage by 1%"",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""HeatDamageTakenSoftCapMultiplier"",""Name"":""Heat Damage SoftCap""},""durationData"":{""duration"":1,""stackLimit"":45,""ticksOnActivations"":true,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.95"",""operation"":""Float_Multiply"",""statName"":""CACIncomingHeatMult""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}},{""Description"":{""Details"":""This unit is coated with burning chemicals."",""Icon"":""uixSvgIcon_biome_Heated"",""Id"":""Effect_InfernoRLHeat"",""Name"":""INFERNO""},""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":-1,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Debuff"",""statisticData"":{""modType"":""System.Int32"",""modValue"":""12"",""operation"":""Int_Subtract"",""statName"":""HeatSinkCapacity""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":true,""showInTargetPreview"":true,""specialRules"":""NotSet"",""triggerLimit"":0}}]",,,,,Normal,,,
AC10,0,Ammunition_AC10_Flak,0,,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.",2,,,,,,,,,,,,,,,,,,,,1,,,,-6,,,t0,5,"[{""C"":""#F3F34A"",""I"":5}]",,1,,,,AC/10 Ammo,0,0,Flak,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AC10,0,Ammunition_AC10_Caseless,0,,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,t0,5,"[{""C"":""#FAED39"",""I"":5}]",,1,0.9,,,AC/10 Ammo,0,0,CL,,,,,,,,,,0.12,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Normal,,,
AC10,0,Ammunition_AC10_AP,0,,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.",1,,,,,,,,,,,,,,,,,0.5,10,,1,,,,,,,t0,5,"[{""C"":""#EE82EE"",""I"":5}]",0.5,1,0.5,,,AC/10 Ammo,0,0,AP,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AC10,0,Ammunition_AC10,0,,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,AC/10 Ammo,0,0,STD,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AC10Internal,0,Ammunition_AC10_Internal,0,,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,AC/10 Ammo,0,0,STD,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AC2,0,Ammunition_AC2_Precision,0,,Small caliber ammunition designed for long range fire in an AC/2.,,,,,,,,,,,,,,,,,,,,,1,,,,,,,t0,5,"[{""C"":""#0000CD"",""I"":5}]",,1,,,,AC/2 Ammo,0,0,Precision,,,,2,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
AC2,0,Ammunition_AC2_Incendiary,0,,Small caliber ammunition designed for long range fire in an AC/2.,,,,,,90,,,,,,,,,,,,,,,1,,,,,,,t0,5,"[{""C"":""#DC143C"",""I"":5}]",,1,0.6,,,AC/2 Ammo,0,0,Incendiary,,,,,,,,0.1,,,,10,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""Description"":{""Details"":""Reduce Heat Damage by 1%"",""Icon"":""uixSvgIcon_equipment_ThermalExchanger"",""Id"":""HeatDamageTakenSoftCapMultiplier"",""Name"":""Heat Damage SoftCap""},""durationData"":{""duration"":1,""stackLimit"":45,""ticksOnActivations"":true,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Buff"",""statisticData"":{""modType"":""System.Single"",""modValue"":""0.96"",""operation"":""Float_Multiply"",""statName"":""CACIncomingHeatMult""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":false,""showInTargetPreview"":false,""specialRules"":""NotSet"",""triggerLimit"":0}},{""Description"":{""Details"":""This unit is coated with burning chemicals."",""Icon"":""uixSvgIcon_biome_Heated"",""Id"":""Effect_InfernoRLHeat"",""Name"":""INFERNO""},""durationData"":{""clearedWhenAttacked"":false,""duration"":2,""stackLimit"":-1,""ticksOnActivations"":true,""ticksOnEndOfRound"":false,""ticksOnMovements"":false,""useActivationsOfTarget"":true},""effectType"":""StatisticEffect"",""nature"":""Debuff"",""statisticData"":{""modType"":""System.Int32"",""modValue"":""5"",""operation"":""Int_Subtract"",""statName"":""HeatSinkCapacity""},""targetingData"":{""effectTargetType"":""NotSet"",""effectTriggerType"":""OnHit"",""extendDurationOnTrigger"":0,""forcePathRebuild"":false,""forceVisRebuild"":false,""range"":0,""showInStatusPanel"":true,""showInTargetPreview"":true,""specialRules"":""NotSet"",""triggerLimit"":0}}]",,,,,Normal,,,
AC2,0,Ammunition_AC2_Flak,0,,Small caliber ammunition designed for long range fire in an AC/2.,2,,,,,,,,,,,,,,,,,,,,1,,,,-6,,,t0,5,"[{""C"":""#F3F34A"",""I"":5}]",,1,,,,AC/2 Ammo,0,0,Flak,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,
